gps_timestamp,gps_latitude,gps_longitude,gps_altitude,uwb_timestamp,uwb_latitude,uwb_longitude,uwb_altitude,anchor_1,anchor_2,anchor_3,anchor_4,anchor_5,anchor_6,anchor_7,when
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.390,40.75734787,-73.98245485,18.3,,,,,,,,0
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.410,40.75734787,-73.98245485,18.3,,,,,,,,20
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.450,40.75734787,-73.98245485,18.3,,,,,,,,60
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.500,40.75734787,-73.98245485,18.3,,,,,,,,110
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.500,40.75734787,-73.98245485,18.3,,,,,,,,110
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.550,40.75734787,-73.98245485,18.3,,,,,,,,160
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.590,40.75734787,-73.98245485,18.3,,,,,,,,200
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.600,40.75734787,-73.98245485,18.3,,,,,,,,210
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.650,40.75734787,-73.98245485,18.3,,,,,,,,260
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.680,40.75734787,-73.98245485,18.3,,,,,,,,290
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.710,40.75734787,-73.98245485,18.3,,,,,,,,320
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.760,40.75734787,-73.98245485,18.3,,,,,,,,370
09/30/2016 17:54:18.000,40.75659291,-73.9823939,-36.819,09/30/2016 17:54:17.770,40.75734787,-73.98245485,18.3,,,,,,,,380
