secs,nsecs,latitude,longitude,altitude
1453942786,21203975,40.757775869,-73.982218887,18.333
1453942786,23158124,40.757775869,-73.982218887,18.333
1453942787,36197517,40.757775869,-73.982218887,18.333
1453942787,38119851,40.757775869,-73.982218887,18.333
1453942788,55252097,40.757775869,-73.982218887,18.333
1453942788,57079861,40.757775869,-73.982218887,18.333
1453942789,20220238,40.757775869,-73.982218887,18.333
1453942789,22126672,40.757775869,-73.982218887,18.333
1453942790,61357070,40.757775869,-73.982218887,18.333
1453942790,63223814,40.757775869,-73.982218887,18.333
1453942791,29157865,40.757775869,-73.982218887,18.333
1453942791,31132642,40.757775869,-73.982218887,18.333
1453942792,45157070,40.757775869,-73.982218887,18.333
1453942792,47072546,40.757775869,-73.982218887,18.333
1453942793,22180239,40.757775869,-73.982218887,18.333
1453942793,24093354,40.757775869,-73.982218887,18.333
1453942794,38146479,40.757775869,-73.982218887,18.333
1453942794,40095288,40.757775869,-73.982218887,18.333
1453942795,53309760,40.757775869,-73.982218887,18.333
1453942795,55092088,40.757775869,-73.982218887,18.333
1453942796,19148659,40.757775869,-73.982218887,18.333
1453942796,21058939,40.757775869,-73.982218887,18.333
1453942797,39143788,40.757775869,-73.982218887,18.333
1453942797,41093219,40.757775869,-73.982218887,18.333
1453942798,59138944,40.757775869,-73.982218887,18.333
1453942798,61073618,40.757775869,-73.982218887,18.333
1453942799,28127047,40.757775869,-73.982218887,18.333
1453942799,30053388,40.757775869,-73.982218887,18.333
1453942800,60288330,40.757775869,-73.982218887,18.333
1453942800,62209191,40.757775869,-73.982218887,18.333
1453942801,34120184,40.757775869,-73.982218887,18.333
1453942801,36032281,40.757775869,-73.982218887,18.333
1453942802,53123725,40.757775869,-73.982218887,18.333
1453942802,55067312,40.757775869,-73.982218887,18.333
1453942803,21143850,40.757775869,-73.982218887,18.333
1453942803,23049111,40.757775869,-73.982218887,18.333
1453942804,43130255,40.757793684,-73.982215449,18.272
1453942804,45030673,40.757793684,-73.982215449,18.272
1453942805,21119542,40.757811404,-73.98221899,nan
1453942805,23052656,40.757811404,-73.98221899,nan
1453942806,45124821,40.757835954,-73.982210153,18.236
1453942806,47011757,40.757835954,-73.982210153,18.236
1453942807,32102592,40.757871569,-73.982197937,18.205
1453942807,34022556,40.757871569,-73.982197937,18.205
1453942808,55056641,40.757896686,-73.982184476,18.278
1453942808,57106314,40.757896686,-73.982184476,18.278
1453942809,34127643,40.757913377,-73.982174654,18.28
1453942809,36107608,40.757913377,-73.982174654,18.28
1453942810,12086960,40.757929686,-73.982169287,18.319
1453942810,14002933,40.757929686,-73.982169287,18.319
1453942811,41073431,40.757942242,-73.982163021,nan
1453942811,43003875,40.757942242,-73.982163021,nan
1453942812,15021095,40.757952602,-73.982157835,nan
1453942812,17000483,40.757952602,-73.982157835,nan
